area_name,year,group_name,sub_group_name,cases_property_recovered,cases_property_stolen,value_of_property_recovered,value_of_property_stolen
Himachal Pradesh,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,20,59,5601360,10484933
Jammu & Kashmir,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,11,82,199260,1965260
Jharkhand,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,29,153,105400,1875873
Karnataka,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,102,427,11233753,80193976
Kerala,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,43,279,5203538,48659235
Lakshadweep,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,1,3500,3500
Madhya Pradesh,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,255,481,8389128,18436467
Maharashtra,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,705,1436,234006060,876305582
Manipur,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,33,0,8330692
Meghalaya,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,19,16320,524350
Mizoram,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14,22,1137145,2791842
Nagaland,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,3,1800,301800
Odisha,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,69,224,1508259,28749939
Puducherry,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,5,41231,147466
Punjab,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,364,368,71040117,104353118
Rajasthan,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,235,626,3514853,4359322
Sikkim,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,1,0,16000
Tamil Nadu,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,100,313,7122903,97624833
Tripura,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3,4,13000,842171
Uttar Pradesh,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,327,991,22736775,67340444
Uttarakhand,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,171,26000,35494787
West Bengal,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,124,486,8830089,25812306
Andaman & Nicobar Islands,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,4,0,617295
Andhra Pradesh,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,104,382,6462978,67143584
Arunachal Pradesh,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,10,23,1258813,2858359
Assam,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,82,558,1926211,15255432
Bihar,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,41,1214,1128419,20655871
Chandigarh,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,18,35,676746,1041146
Chhattisgarh,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,58,92,1177815,59050808
Dadra & Nagar Haveli,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,5,12,1724650,6528920
Daman & Diu,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3,5,652796,1901559
Delhi,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,141,444,4331616,62427472
Goa,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,16,100850,5408663
Gujarat,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,500,1188,28577528,1062403379
Haryana,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,393,524,15305302,27012212
Himachal Pradesh,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,11,67,1663215,10117525
Jammu & Kashmir,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,11,91,441846,1279159
Jharkhand,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,53,333,1276520,5899913
Karnataka,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,140,393,28076132,80055435
Kerala,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,42,252,4000315,114314061
Lakshadweep,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
Madhya Pradesh,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,263,507,10528504,39092766
Maharashtra,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,646,1392,648696113,5101900126
Manipur,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,28,20000,2382688
Meghalaya,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,8,81550,135060
Mizoram,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,8,26,2025665,8967246
Nagaland,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,10,429180,1034675
Odisha,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,65,202,2505000,25525237
Puducherry,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,11,6000,2742428
Punjab,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,367,373,116744790,202509917
Rajasthan,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,224,383,6849508,7165730
Sikkim,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,1,51980,100000
Tamil Nadu,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,18,82,2582857,42418431
Tripura,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,12,0,1602920
Uttar Pradesh,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,75,262,15804473,26105366
Uttarakhand,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
West Bengal,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,223,451,6991167,33317868
Andaman & Nicobar Islands,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,3,1000,271000
Andhra Pradesh,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,43,296,9731021,44005241
Arunachal Pradesh,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,28,413574,4736411
Assam,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,119,611,1390986,14826295
Bihar,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,26,1096,748571,12300221
Chandigarh,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,32,560000,1812812
Chhattisgarh,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,37,70,750259,19082771
Dadra & Nagar Haveli,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,8,1215861,4435541
Daman & Diu,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,7,530000,1367619
Delhi,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,167,431,2621550,199093138
Goa,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,8,43,2189155,51284369
Gujarat,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,655,1545,73873740,1008562218
Haryana,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,406,518,64030730,87599104
Himachal Pradesh,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,13,43,416362,4851132
Jammu & Kashmir,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,20,116,245761,309306
Jharkhand,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,188,265,8848480,12472592
Karnataka,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,135,438,6836658,154630643
Kerala,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,37,229,14721566,189242300
Lakshadweep,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
Madhya Pradesh,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,240,393,6459239,14418796
Maharashtra,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,720,1488,104222940,775033271
Manipur,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,16,0,1925606
Meghalaya,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,11,50000,35952641
Mizoram,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,11,19,398238,506287
Nagaland,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,3,100000,484144
Odisha,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,72,210,1656165,10842248
Puducherry,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,12,226956,2555237
Punjab,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,325,343,145492540,293485494
Rajasthan,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,49,85,2770000,3062874
Sikkim,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,5,0,1303510
Tamil Nadu,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,160,307,10976896,44172493
Tripura,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,3,1500,140942
Uttar Pradesh,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,83,143,20608700,34410334
Uttarakhand,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
West Bengal,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,188,378,14821711,67300317
Andaman & Nicobar Islands,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
Andhra Pradesh,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,50,353,7380662,118644247
Arunachal Pradesh,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,26,7000,2786122
Assam,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,82,586,3040762,35994035
Bihar,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,30,1696,1149866,20065108
Chandigarh,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9,23,8725852,10309952
Chhattisgarh,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,41,84,535370,5746737
Dadra & Nagar Haveli,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,8,12,5182865,606187858
Daman & Diu,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,3,50000,481400
Delhi,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,181,445,9556500,109174459
Goa,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,34,1555720,11010936
Gujarat,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,608,1419,26259866,1737345011
Haryana,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,332,466,30549043,49781427
Himachal Pradesh,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,18,84,345774,23374331
Jammu & Kashmir,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,24,105,1293015,1640435
Jharkhand,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,53,333,1276520,5899913
Karnataka,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,145,354,37961216,119683651
Kerala,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,62,236,15987869,56346557
Lakshadweep,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
Madhya Pradesh,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,288,424,7948030,25445332
Maharashtra,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,669,1371,86911957,1374397852
Manipur,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,25,129019,19169678
Meghalaya,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,23,26830,3989942
Mizoram,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
Nagaland,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,10,196400,3250540
Odisha,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,93,249,3072016,18949949
Puducherry,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,7,0,2071359
Punjab,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,301,311,221325402,756610830
Rajasthan,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,37,55,2064000,2313435
Sikkim,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,4,0,2974226
Tamil Nadu,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,69,200,6564785,115277990
Tripura,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,17,0,1674920
Uttar Pradesh,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,78,172,55244612,55810058
Uttarakhand,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
West Bengal,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,184,425,15043440,72124632
Andaman & Nicobar Islands,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,8,0,252808214
Andhra Pradesh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,47,348,15059030,60887542
Arunachal Pradesh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,36,1170875,55772925
Assam,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,89,487,3320562,37840904
Bihar,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,27,1181,1644236,15356354
Chandigarh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,22,41,2560950,7703068
Chhattisgarh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,59,105,1478929,8747070
Dadra & Nagar Haveli,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,8,12,5243420,7514220
Daman & Diu,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,6,377843,1501283
Delhi,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,159,394,1910000,69538509
Goa,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,8,42,814936,24107134
Gujarat,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,678,1242,31806265,2166041426
Haryana,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,386,492,40091504,62176960
Himachal Pradesh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,73,203300,7746849
Jammu & Kashmir,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,21,117,2100252,6830435
Jharkhand,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,84,168,1125340,10187872
Karnataka,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,94,434,6490466,1041217289
Kerala,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,48,278,2674311,71704600
Lakshadweep,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
Madhya Pradesh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,328,489,16256773,61101274
Maharashtra,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,890,1637,105086490,1594302767
Manipur,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,52,250000,86397529
Meghalaya,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,14,646000,766600
Mizoram,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,10,83383,300191
Nagaland,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,16,7236040,13219304
Odisha,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,95,288,354667,1500724
Puducherry,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,8,8212429,8312445
Punjab,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,269,301,365232752,415266700
Rajasthan,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,34,61,1663818,2598014
Sikkim,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,4,0,801896
Tamil Nadu,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,60,179,6699640,40501409
Tripura,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,32,20000,9035425
Uttar Pradesh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,142,356,18480285,32977266
Uttarakhand,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
West Bengal,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,207,528,14233729,54200583
Andaman & Nicobar Islands,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,3,0,2190825
Andhra Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,63,396,13934804,87652602
Arunachal Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,23,45,1603077,10552823
Assam,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,79,461,3485175,68198861
Bihar,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,30,1042,1563838,25004534
Chandigarh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,35,59,11670864,16002635
Chhattisgarh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,47,130,4973985,16808504
Dadra & Nagar Haveli,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,5,30,3698350,53254433
Daman & Diu,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,9,577500,5017655
Delhi,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,162,442,21473070,147797958
Goa,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9,25,3928190,6906420
Gujarat,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,567,1118,30433157,635317912
Haryana,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,601,685,77297743,122768355
Himachal Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,123,2296611,40419057
